appId,names
2568,Samsung Galaxy Store
521,WhatsApp Transfer
2570,Xiaomi Services
1545,Vungle
8,HTTP
522,FaceTime
2578,NTP
1565,Xiaomi Cloud
30,Skype
2596,Temu
42,iTunes
555,WeChat
43,BitTorrent
561,Instagram
2613,TLS with Encrypted Client Hello
1083,DNS over HTTPS
1084,DNS over TLS
1088,Google Search
595,Office 365
616,GoogleHangout
622,Waze
626,Akamai
1142,Quic Obfuscated
653,Snapchat
145,YouTube
665,SamsungServices
1179,Roblox
1181,TCP Port 443
159,STUN
682,Telegram
171,Facebook
687,Facebook Calls
178,BitTorrent Tracker
699,FacebookContent
700,NetFlix_Browsing
711,Office 365 OutLook
712,MS OutLook
2262,Samsung Cloud
219,HTTP_Browsing
239,BitTorrentDHT
247,NetFlix
272,Gmail
289,Twitter
802,Imo
1325,Amazon Services
1838,Liftoff
305,Facebook Video
311,Spotify
1855,Truecaller
320,Mobile Apple Store
837,MS Services
843,Crashlytics
1356,Google Push Notifications
1358,byteoversea
1359,TLS with no SNI
337,Viber
340,WhatsApp
345,Yahoo Management
861,Google Calendar
1382,Game sites
359,Google Maps
1387,Online radio and online TV sites
1389,Pay per surf sites
371,AmazonCloud
373,iCloud
375,Facebook Chat
381,Apple Push Notification
895,Supercell
386,GoogleServices
392,Linkedin
1423,Mobile phone sites
1437,Shopping sites
1438,Travel sites
932,Ynet
1446,Business sites
1448,Computing sites
937,Alibaba
1450,Banners
936,AliExpress
1453,Search engine sites
943,yad2
433,Pinterest
436,Google Play
437,Google UserContent
1463,Directory and street map sites
954,PUBG
961,YouTube Browsing
964,Advertisements
965,Generic CDN
966,HTTPS_Streaming
967,Analytics
1487,iCloud Private Relay
2514,TikTok Live
1494,Unity 3D
1498,Wolt
987,Moovit
2531,Google Cloud
1508,Google Meet
485,HTTPS
998,Tik Tok
2536,Weather.com
488,Siri
497,AppleServices
498,AppleCalendar
2549,Cloudflare
1527,WhatsApp Calls
505,Yandex
506,Adult Streaming
342,Microsoft Live Login
427,VKontakte
1525,Brawl Stars
2575,Google RCS
2553,Bybit
304,WindowsUpdate
1447,Press sites
948,365Scores
541,Baidu Web
2614,TLS with Segmented Client Hello
2620,Google APIs
2621,Google Static Content
2619,Google Ads
2625,Google Analytics
2626,Android Services
2627,Google Connectivity Check
2628,Amazon Ads
2637,Apple Edge Cache
1672,CapCut
651,HTTP-Proxy
177,BitTorrent Enc
218,HTTP_Streaming
331,Game Center
372,WindowsAzure
1424,Electronics sites
1452,Chat sites
2532,SHEIN
2645,iCloud Mail
2678,Tencent Games
3287,Intercom
1385,Social networks sites
1410,Sports sites
1470,Photo and video sites
2510,ChatGPT
492,AppleMaps
