Running MMD experiment for train domain: AwsCont and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=0.2354, Accuracy=92.72%
         Val Loss=0.1496, Accuracy=96.26%
         MMD Loss=0.0000, Regular Loss=0.2353
Epoch 2: Train Loss=0.0560, Accuracy=98.29%
         Val Loss=0.1024, Accuracy=96.97%
         MMD Loss=0.0000, Regular Loss=0.0559
Epoch 3: Train Loss=0.0324, Accuracy=99.00%
         Val Loss=0.0991, Accuracy=96.94%
         MMD Loss=0.0000, Regular Loss=0.0324
Epoch 4: Train Loss=0.0243, Accuracy=99.30%
         Val Loss=0.0603, Accuracy=98.19%
         MMD Loss=0.0000, Regular Loss=0.0243
Epoch 5: Train Loss=0.0202, Accuracy=99.29%
         Val Loss=0.0918, Accuracy=97.79%
         MMD Loss=0.0000, Regular Loss=0.0201
Epoch 6: Train Loss=0.0128, Accuracy=99.59%
         Val Loss=0.1057, Accuracy=97.81%
         MMD Loss=0.0000, Regular Loss=0.0128
Epoch 7: Train Loss=0.0141, Accuracy=99.53%
         Val Loss=0.1256, Accuracy=97.39%
         MMD Loss=0.0000, Regular Loss=0.0141
Epoch 8: Train Loss=0.0133, Accuracy=99.53%
         Val Loss=0.0944, Accuracy=97.99%
         MMD Loss=0.0000, Regular Loss=0.0133
Epoch 9: Train Loss=0.0113, Accuracy=99.66%
         Val Loss=0.0586, Accuracy=98.49%
         MMD Loss=0.0000, Regular Loss=0.0113
Epoch 10: Train Loss=0.0085, Accuracy=99.69%
         Val Loss=0.0627, Accuracy=98.58%
         MMD Loss=0.0000, Regular Loss=0.0085
Epoch 11: Train Loss=0.0063, Accuracy=99.80%
         Val Loss=0.0757, Accuracy=98.46%
         MMD Loss=0.0000, Regular Loss=0.0063
Epoch 12: Train Loss=0.0075, Accuracy=99.76%
         Val Loss=0.0879, Accuracy=98.57%
         MMD Loss=0.0000, Regular Loss=0.0075
Epoch 13: Train Loss=0.0075, Accuracy=99.78%
         Val Loss=0.0787, Accuracy=98.58%
         MMD Loss=0.0000, Regular Loss=0.0075
Epoch 14: Train Loss=0.0076, Accuracy=99.85%
         Val Loss=0.1225, Accuracy=97.95%
         MMD Loss=0.0000, Regular Loss=0.0075
Epoch 15: Train Loss=0.0045, Accuracy=99.86%
         Val Loss=0.0917, Accuracy=98.53%
         MMD Loss=0.0000, Regular Loss=0.0045
Epoch 16: Train Loss=0.0045, Accuracy=99.84%
         Val Loss=0.1011, Accuracy=98.58%
         MMD Loss=0.0000, Regular Loss=0.0045
Epoch 17: Train Loss=0.0045, Accuracy=99.85%
         Val Loss=0.1313, Accuracy=98.08%
         MMD Loss=0.0000, Regular Loss=0.0045
Epoch 18: Train Loss=0.0049, Accuracy=99.81%
         Val Loss=0.0897, Accuracy=98.52%
         MMD Loss=0.0000, Regular Loss=0.0049
Epoch 19: Train Loss=0.0051, Accuracy=99.84%
         Val Loss=0.1441, Accuracy=98.00%
         MMD Loss=0.0000, Regular Loss=0.0051
Epoch 20: Train Loss=0.0053, Accuracy=99.84%
         Val Loss=0.1706, Accuracy=97.70%
         MMD Loss=0.0000, Regular Loss=0.0053
Training completed.
Model for train domain AwsCont to test domain AwsCont saved to exps/CNN_mmd2_0/AwsCont_to_AwsCont/weights/model_final_AwsCont_to_AwsCont.pth
Running MMD experiment for train domain: AwsCont and test domain: BenContainer
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Epoch 1: Train Loss=0.2391, Accuracy=92.76%
         Val Loss=0.9383, Accuracy=72.13%
         MMD Loss=0.0000, Regular Loss=0.2389
Epoch 2: Train Loss=0.0560, Accuracy=98.28%
         Val Loss=1.3019, Accuracy=72.64%
         MMD Loss=0.0000, Regular Loss=0.0559
Epoch 3: Train Loss=0.0339, Accuracy=98.91%
         Val Loss=0.9706, Accuracy=75.31%
         MMD Loss=0.0000, Regular Loss=0.0339
Epoch 4: Train Loss=0.0212, Accuracy=99.23%
         Val Loss=1.2585, Accuracy=76.15%
         MMD Loss=0.0000, Regular Loss=0.0215
Epoch 5: Train Loss=0.0217, Accuracy=99.30%
         Val Loss=1.0724, Accuracy=80.00%
         MMD Loss=0.0000, Regular Loss=0.0217
Epoch 6: Train Loss=0.0186, Accuracy=99.45%
         Val Loss=1.8803, Accuracy=74.06%
         MMD Loss=0.0000, Regular Loss=0.0186
Epoch 7: Train Loss=0.0121, Accuracy=99.57%
