Running MMD experiment for train domain: AwsCont and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=0.2388, Accuracy=92.90%
         Val Loss=0.1394, Accuracy=96.30%
         MMD Loss=0.0932, Regular Loss=0.2293
Epoch 2: Train Loss=0.0669, Accuracy=98.29%
         Val Loss=0.0921, Accuracy=97.12%
         MMD Loss=0.0944, Regular Loss=0.0574
Epoch 3: Train Loss=0.0431, Accuracy=99.01%
         Val Loss=0.0796, Accuracy=97.70%
         MMD Loss=0.0942, Regular Loss=0.0337
Epoch 4: Train Loss=0.0327, Accuracy=99.23%
         Val Loss=0.0968, Accuracy=97.61%
         MMD Loss=0.0942, Regular Loss=0.0233
Epoch 5: Train Loss=0.0303, Accuracy=99.35%
         Val Loss=0.0880, Accuracy=97.77%
         MMD Loss=0.0937, Regular Loss=0.0209
Epoch 6: Train Loss=0.0236, Accuracy=99.49%
         Val Loss=0.1258, Accuracy=97.53%
         MMD Loss=0.0939, Regular Loss=0.0142
Epoch 7: Train Loss=0.0205, Accuracy=99.64%
         Val Loss=0.0901, Accuracy=97.85%
         MMD Loss=0.0936, Regular Loss=0.0111
Epoch 8: Train Loss=0.0252, Accuracy=99.48%
         Val Loss=0.0717, Accuracy=98.21%
         MMD Loss=0.0942, Regular Loss=0.0157
Epoch 9: Train Loss=0.0203, Accuracy=99.68%
         Val Loss=0.0675, Accuracy=98.38%
         MMD Loss=0.0939, Regular Loss=0.0109
Epoch 10: Train Loss=0.0166, Accuracy=99.78%
         Val Loss=0.1145, Accuracy=97.83%
         MMD Loss=0.0937, Regular Loss=0.0072
Epoch 11: Train Loss=0.0185, Accuracy=99.69%
         Val Loss=0.0691, Accuracy=98.32%
         MMD Loss=0.0936, Regular Loss=0.0091
Epoch 12: Train Loss=0.0145, Accuracy=99.81%
         Val Loss=0.1210, Accuracy=98.23%
         MMD Loss=0.0936, Regular Loss=0.0052
Epoch 13: Train Loss=0.0177, Accuracy=99.76%
         Val Loss=0.0734, Accuracy=98.19%
         MMD Loss=0.0935, Regular Loss=0.0083
Epoch 14: Train Loss=0.0168, Accuracy=99.77%
         Val Loss=0.0980, Accuracy=98.45%
         MMD Loss=0.0932, Regular Loss=0.0075
Epoch 15: Train Loss=0.0158, Accuracy=99.81%
         Val Loss=0.1088, Accuracy=98.17%
         MMD Loss=0.0931, Regular Loss=0.0065
Epoch 16: Train Loss=0.0140, Accuracy=99.86%
         Val Loss=0.0902, Accuracy=98.37%
         MMD Loss=0.0928, Regular Loss=0.0047
Epoch 17: Train Loss=0.0136, Accuracy=99.86%
         Val Loss=0.0839, Accuracy=98.35%
         MMD Loss=0.0930, Regular Loss=0.0043
Epoch 18: Train Loss=0.0129, Accuracy=99.89%
         Val Loss=0.0982, Accuracy=98.49%
         MMD Loss=0.0929, Regular Loss=0.0036
Epoch 19: Train Loss=0.0161, Accuracy=99.79%
         Val Loss=0.0897, Accuracy=98.28%
         MMD Loss=0.0929, Regular Loss=0.0069
Epoch 20: Train Loss=0.0133, Accuracy=99.89%
         Val Loss=0.1241, Accuracy=98.21%
         MMD Loss=0.0929, Regular Loss=0.0040
Training completed.
Model for train domain AwsCont to test domain AwsCont saved to exps/CNN_mmd2_1e-1/AwsCont_to_AwsCont/weights/model_final_AwsCont_to_AwsCont.pth
Running MMD experiment for train domain: AwsCont and test domain: BenContainer
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Epoch 1: Train Loss=0.2502, Accuracy=92.63%
         Val Loss=1.0516, Accuracy=69.37%
         MMD Loss=0.0932, Regular Loss=0.2407
Epoch 2: Train Loss=0.0683, Accuracy=98.15%
         Val Loss=1.2853, Accuracy=71.38%
         MMD Loss=0.0934, Regular Loss=0.0589
