Running MMD experiment for train domain: AwsCont and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=1.1340, Accuracy=92.77%
         Val Loss=0.1146, Accuracy=96.90%
         MMD Loss=0.0898, Regular Loss=0.2359
Epoch 2: Train Loss=0.9545, Accuracy=98.03%
         Val Loss=0.1275, Accuracy=96.45%
         MMD Loss=0.0887, Regular Loss=0.0679
Epoch 3: Train Loss=0.9211, Accuracy=98.81%
         Val Loss=0.0836, Accuracy=97.44%
         MMD Loss=0.0880, Regular Loss=0.0417
Epoch 4: Train Loss=0.9061, Accuracy=99.02%
         Val Loss=0.0756, Accuracy=98.06%
         MMD Loss=0.0876, Regular Loss=0.0308
Epoch 5: Train Loss=0.8979, Accuracy=99.24%
         Val Loss=0.0727, Accuracy=98.15%
         MMD Loss=0.0872, Regular Loss=0.0267
Epoch 6: Train Loss=0.8913, Accuracy=99.25%
         Val Loss=0.1352, Accuracy=97.53%
         MMD Loss=0.0869, Regular Loss=0.0224
Epoch 7: Train Loss=0.8838, Accuracy=99.47%
         Val Loss=0.1197, Accuracy=97.43%
         MMD Loss=0.0866, Regular Loss=0.0178
Epoch 8: Train Loss=0.8823, Accuracy=99.41%
         Val Loss=0.1044, Accuracy=97.81%
         MMD Loss=0.0865, Regular Loss=0.0175
Epoch 9: Train Loss=0.8838, Accuracy=99.40%
         Val Loss=0.0797, Accuracy=98.12%
         MMD Loss=0.0865, Regular Loss=0.0196
Epoch 10: Train Loss=0.8736, Accuracy=99.66%
         Val Loss=0.1100, Accuracy=97.79%
         MMD Loss=0.0862, Regular Loss=0.0118
Epoch 11: Train Loss=0.8732, Accuracy=99.60%
         Val Loss=0.0897, Accuracy=98.20%
         MMD Loss=0.0861, Regular Loss=0.0122
Epoch 12: Train Loss=0.8712, Accuracy=99.64%
         Val Loss=0.0838, Accuracy=98.32%
         MMD Loss=0.0861, Regular Loss=0.0103
Epoch 13: Train Loss=0.8705, Accuracy=99.67%
         Val Loss=0.1398, Accuracy=97.35%
         MMD Loss=0.0861, Regular Loss=0.0101
Epoch 14: Train Loss=0.8686, Accuracy=99.74%
         Val Loss=0.1257, Accuracy=97.77%
         MMD Loss=0.0860, Regular Loss=0.0089
Epoch 15: Train Loss=0.8742, Accuracy=99.61%
         Val Loss=0.1124, Accuracy=97.86%
         MMD Loss=0.0860, Regular Loss=0.0149
Epoch 16: Train Loss=0.8681, Accuracy=99.72%
         Val Loss=0.1033, Accuracy=97.94%
         MMD Loss=0.0859, Regular Loss=0.0098
Epoch 17: Train Loss=0.8672, Accuracy=99.72%
         Val Loss=0.1097, Accuracy=97.93%
         MMD Loss=0.0858, Regular Loss=0.0092
Epoch 18: Train Loss=0.8631, Accuracy=99.77%
         Val Loss=0.0971, Accuracy=98.19%
         MMD Loss=0.0856, Regular Loss=0.0070
Epoch 19: Train Loss=0.8672, Accuracy=99.77%
         Val Loss=0.1008, Accuracy=98.10%
         MMD Loss=0.0858, Regular Loss=0.0098
Epoch 20: Train Loss=0.8617, Accuracy=99.84%
         Val Loss=0.1134, Accuracy=97.90%
         MMD Loss=0.0856, Regular Loss=0.0061
Training completed.
